"","Comp.1","Comp.2","Comp.3"
"127",-10.3518998940644,-2.34323895093079,-0.283594372490714
"128",-10.1253845512925,-2.81463677585005,-0.85264474730167
"129",-10.0944181606942,-2.83911744718409,-0.968237204972921
"130",-10.1597842634606,-2.76177446700535,-0.751234173400364
"131",-10.030919318118,-3.02614548848487,-1.06314356863507
"132",-9.90522240434693,-3.34635394375239,-0.122448326646365
"133",-9.50776636471405,-3.92743529598712,-0.537098659119963
"134",-9.31641632474855,-3.89701994333264,-0.8268857426489
"135",-9.43659705426843,-3.78383312503405,0.0903764890620793
"136",-9.49570829042468,-3.59841756901162,0.284364020773386
"137",-9.71647761510198,-3.37226127690805,0.982564088774176
"138",-9.61928898330156,-3.32922773683451,0.726397706921921
"139",-9.77950414802271,-3.2978011042731,1.29570405600442
"140",-9.87485862065474,-2.73593190840234,1.34170325079157
"141",-9.81578620515439,-2.60869636755124,1.35585556499859
"142",-9.64410040901908,-2.81767381379656,1.70128456830888
"143",-9.61532636807699,-2.87759159092468,1.92867228078582
"144",-9.42920236076868,-3.58737093909015,1.83760201254242
"145",-9.36373783955827,-3.90159778236359,2.34124704234426
"146",-9.07791074080723,-3.98552162612135,2.05859072395025
"147",-9.04440283391266,-3.54285585167877,2.02652682329377
"148",-9.09024321577945,-3.4301332533482,2.254145104867
"149",-9.16177887401916,-3.22987452393316,2.25936368273717
"150",-9.13443130963629,-3.04723847947012,2.63918722686808
"151",-9.13085932357805,-3.06742199654293,2.56652186672431
"152",-9.22798268430765,-2.72350456736361,3.30668166961787
"153",-9.19724007761512,-2.92788834139882,3.65653650248404
"154",-9.17603609095624,-2.74830919962913,3.82596688236059
"155",-9.09205793390192,-2.75504652216875,3.81799912528443
"156",-9.24157228942898,-2.75066793471118,4.44103552093521
"157",-9.39777020896407,-2.23106393620282,4.78611771498803
"158",-9.30991611760331,-1.5441568545838,4.85238163113151
"159",-9.29710841556835,-1.41307983486282,4.66646448624435
"160",-9.2040380245888,-1.42706390248338,3.88407213445576
"161",-9.42090875971447,-0.590086180247391,4.60509559305102
"162",-9.48721279559067,-0.325337715269667,4.68218114106958
"163",-9.8371060127742,1.13842569671922,5.19643551988347
"164",-9.86507689320029,0.699587601036935,4.76621216091606
"165",-9.7709655212393,1.19680057266715,4.6232919851514
"166",-9.40223657723918,1.08049798579923,3.61872892156013
"167",-9.35125732012263,1.00711272395526,3.53839630728601
"168",-9.32552418011625,1.1601382998751,2.74409055754029
"169",-9.29539329091582,0.847115588239988,2.27604748865039
"170",-9.21353863026741,0.722607208368229,2.40639505944707
"171",-9.15491044270031,0.623423046590245,2.29572398551133
"172",-9.55094127609688,1.4668053482794,1.80725003422133
"173",-9.42998781111638,2.08368878393132,1.96191200821714
"174",-9.673557011694,2.86565253575612,2.19795251438043
"175",-9.78704944140923,4.03631269323947,1.94897204807732
"176",-9.3948572216939,2.55795627766651,0.575352326731089
"177",-9.41058710868058,2.36519453672219,-0.297478347293808
"178",-9.00321639678009,1.87868941976117,-1.22029904392507
"179",-8.91362648482053,1.61650022773748,-2.29476817395071
"180",-8.79642952377116,0.539547768322386,-3.28396815612053
"181",-8.33155490380964,-0.0226352476498445,-4.76182743413536
"182",-8.0731528259172,-0.678395895766688,-5.51677639532022
"183",-7.87123237279805,-1.21138539685115,-6.29475882411723
"184",-7.73137179378137,-1.57987786203801,-6.15390686422699
"185",-7.67348602855283,-1.52587345949633,-5.85656038821639
"186",-7.59134128067338,-1.16210479276162,-5.51239523057775
"187",-7.70594391184616,-1.22813362389539,-4.68732830287754
"188",-7.58264395019831,-1.34297146054896,-4.73066171136287
"189",-7.55701341530968,-1.21156819350071,-4.44524455006537
"190",-7.53100227942841,-1.21377210415008,-4.12897891120182
"191",-7.36831910497768,-1.63725824084696,-4.19348322200524
"192",-7.23132687311233,-1.69120188947,-4.12519063007351
"193",-7.08562901471663,-1.48585893889096,-3.46122753085005
"194",-7.1599691533,-1.69632384706956,-2.96467650945652
"195",-7.1816397475964,-1.76235998282236,-3.16692917539421
"196",-7.25193758857653,-1.3992201971121,-3.40754753528755
"197",-7.1735934142865,-1.14847642935883,-2.68650475647231
"198",-7.13769442776849,-1.08736605671341,-2.82117283791451
"199",-7.0496587944685,-0.987295778350634,-2.82731850228423
"200",-7.14628768816759,-0.866498753631877,-2.33668148231248
"201",-7.22507982972209,-0.759357177706342,-1.5749758385885
"202",-7.14092206220467,-0.79551323578562,-1.91769702868433
"203",-7.07451892778947,-0.708717977546765,-1.51966217666888
"204",-6.99975784475897,-0.697031726637295,-1.18975300902198
"205",-6.90653939766615,-0.583861896360511,-2.14243063107945
"206",-6.87716982888552,-0.498203434160177,-0.998332142100102
"207",-7.10447666224282,-0.637687250984877,-0.257969049323079
"208",-7.00108663313313,-0.485110307394544,-0.315454244103575
"209",-7.11999293773012,-0.165564949427839,0.216918744281843
"210",-7.15538654027649,-0.0431010371171824,0.374461090638458
"211",-7.09863571308303,-0.0171936187137542,0.488140881514779
