"","Comp.1","Comp.2","Comp.3"
"84",-10.0749711370249,-4.78591326715236,-1.12843036290746
"85",-10.1709231757284,-5.33909020323661,-0.232372834851167
"86",-10.2819926625372,-4.90811327257201,-0.613445409741368
"87",-9.98403581814747,-5.14202522925353,-0.918636688607895
"88",-9.98687366529218,-5.54436693886645,-0.794846581933116
"89",-10.1036572636594,-5.56740882754309,-0.362751623086984
"90",-10.0654972889117,-5.4723698082571,-0.361035124007417
"91",-10.0816934446645,-6.23210347027513,-0.201729186146512
"92",-10.0028878090203,-6.04454823128147,0.175555710392007
"93",-10.0870446163489,-6.10693006196432,0.311043849237396
"94",-10.0572743319158,-6.22959379500536,0.279163288007094
"95",-10.0404152556759,-5.94640118307245,0.527386422074251
"96",-9.90536915748554,-5.54083028076321,0.304425918106146
"97",-9.98034163789979,-5.33821664283877,0.128653222971502
"98",-10.0447376089263,-5.06256021022483,0.98784850441389
"99",-10.1383700674598,-4.82048434635798,1.1084726917399
"100",-10.415308967184,-4.07971411595643,1.33575140468176
"101",-10.249666303423,-3.86474496792824,1.41716657085047
"102",-10.2274251611985,-3.79774089293177,1.3092044979474
"103",-10.2585434659669,-3.71522481103252,1.6577802570177
"104",-10.3455884631415,-3.50875787705126,1.7715608451574
"105",-10.2274173015826,-3.87157493009198,2.31882953892058
"106",-10.1326954368849,-3.77894654660719,2.37518687014368
"107",-10.0994855440398,-3.77765141919968,2.40562429190537
"108",-10.1010051088071,-3.84775181892475,1.92545738888891
"109",-10.3719168463325,-3.79033778147016,2.80606237852853
"110",-10.5261096196652,-3.35719483666167,2.79723115218426
"111",-10.4061441736679,-3.12093419697763,2.54418604444598
"112",-10.4295909165896,-2.37239415971252,2.7486010565087
"113",-10.8082167499339,-0.855598138103024,3.04649358828129
"114",-10.8419804071924,-0.970854270974595,2.76164329319207
"115",-10.5484630256373,-1.50992671874649,1.82253289538293
"116",-10.7398506419495,-0.685886252121826,2.18847758206975
"117",-10.6766184911127,-0.745122493121273,2.14922747039072
"118",-10.5856461924829,-0.897795776423839,1.63869886583201
"119",-10.3883969509987,-1.25336435934729,1.06511288845574
"120",-10.4453428879174,-1.35518659835576,0.93521238678694
"121",-10.3007391292933,-1.10783542121678,-0.409136874284602
"122",-10.5567903844349,-0.739270601741718,0.245747541886836
"123",-10.2967232061041,-1.8963422643494,-0.291016271019977
"124",-10.3650981360003,-1.14857785786453,-0.491220165160452
"125",-10.3312556516288,-1.54426372933561,-0.683431331598016
"126",-10.3286826748118,-1.94253888427472,-0.724000098833216
"127",-10.2830111075601,-2.36489771337309,-0.477505527887701
"128",-10.0222291981954,-2.87725900288339,-1.01550811956744
"129",-10.0017074818785,-2.92578419876451,-0.994042451654218
"130",-10.0734894160989,-2.86274703301411,-0.720493620459861
"131",-9.93739010411061,-3.14956627020182,-0.978083238965586
"132",-9.8295381395327,-3.52940832222097,0.210105465383665
"133",-9.39976958937462,-4.14543106753841,-0.190141576997582
"134",-9.18721980702682,-4.12183604242664,-0.558463507278754
"135",-9.33393397774318,-4.01944509991556,0.456741002089069
"136",-9.41479608981335,-3.81524330060397,0.692590247684344
"137",-9.65905942631197,-3.58523330242429,1.45026705816349
"138",-9.56405078144324,-3.52569658709585,1.18504254816496
"139",-9.7433851385399,-3.48749026860732,1.80641182232261
"140",-9.85934533666494,-2.89991247275007,1.82413630041976
"141",-9.78595812263811,-2.76040756861729,1.70930690513415
"142",-9.61718908665321,-2.98867250976708,2.12728062464257
"143",-9.58959804058611,-3.06796464723692,2.40425386831685
"144",-9.39478984331508,-3.83714936374482,2.51484653181758
"145",-9.34107291495639,-4.19938565876461,3.21683432647679
"146",-9.03438463986298,-4.28814849668345,2.87504479156186
"147",-9.00826284937317,-3.80634727984368,2.74365584362036
"148",-9.05212056477259,-3.67212489429228,2.87235031146385
"149",-9.12418619918899,-3.45916852902615,2.81346293865693
"150",-9.10814368646462,-3.27151394856549,3.21361283579645
"151",-9.10619250264136,-3.28455921450452,3.13744548046518
"152",-9.23138606660081,-2.93267136980623,3.92657717000457
"153",-9.21429077461854,-3.15051177253294,4.39959940652117
"154",-9.19965276452507,-2.95422959266238,4.53016429907137
"155",-9.10764708150574,-2.94783421529612,4.4386221175614
"156",-9.25926540946191,-2.93434743596255,5.00739997576826
"157",-9.4487319303967,-2.37815832106547,5.34349557193437
"158",-9.35486860511112,-1.64307014641595,5.18378027175364
"159",-9.36426419487214,-1.46867695490835,4.9929941300937
"160",-9.23210889969318,-1.47209873195471,4.02055666286415
"161",-9.49829845733754,-0.590211360803073,4.74634949380462
"162",-9.55646438083564,-0.282212590290463,4.6370313116365
"163",-9.96910406221019,1.31028729184306,4.94746512511406
"164",-9.98590647236113,0.865625061188196,4.54172053698339
"165",-9.87855552333598,1.40397040175591,4.17065589568211
"166",-9.46262114546635,1.27750826284988,3.00269945601403
"167",-9.41733976461862,1.19893916283126,2.98699982438702
"168",-9.36292801604704,1.35949480532964,2.04296429659137
"169",-9.31299532405591,1.01758808087134,1.6125528261301
"170",-9.25539935715912,0.843466023529174,2.01260726146842
"171",-9.17841068889272,0.753509519468763,1.81629757575996
"172",-9.61332547728603,1.67475922627662,1.25086641241559
"173",-9.49144433078822,2.36014071568914,1.14301558349866
"174",-9.76802536003683,3.18427159053103,1.33030809414025
"175",-9.88642523056527,4.4326217106,0.793121151742848
"176",-9.43435047970726,2.88154617278931,-0.446550806757373
